number,entity_name,full_address,website,lat,long
1,Gotham Buds,"248 W 125th St, New York, New York, 10027",gothambudsny.com,40.8094281,-73.9498531
2,"Housing Works Cannabis, LLC","750 Broadway, New York, New York, 10003",hwcannabis.co,40.626185050000004,-73.71598266071429
3,Smacked Village,"144 Bleecker St, New York, New York, 10012",getsmacked.online,40.7281194,-73.9992891
4,Just Breathe,"75 Court St, Binghamton, New York, 13901",justbreathelife.org,42.098908,-75.91181109916535
5,The Travel Agency Union Square,"835 Broadway, New York, New York, 10003",thetravelagency.co,40.7339195,-73.9911173
6,William Jane Corporation,"119-121 E State St, Ithaca, New York, 14850",williamjane420.com,42.4396375,-76.4955296
7,"Good Grades, LLC","162-03 Jamaica Ave, Jamaica, New York, 11432",goodgradesnyc.com,40.7048111,-73.7978516
8,Upstate Canna Co,"1613 Union St, Schenectady, New York, 12309",upstate-canna.co,42.80516275,-73.90484657075501
9,Dazed,"33 Union Sq. W, New York, New York, 10003",dazed.fun,40.73684635,-73.99093673732611
10,Legacy Dispensary,"1839 Central Ave, Albany, New York, 12205",legacy-dispensary.com,42.7315783,-73.8476504
11,Gotham CAURD LLC,"3 E 3rd St, New York, New York, 10003",gotham.nyc,40.72634465,-73.99125430344827
12,The Cannabis Place,"74-03 Metropolitan Ave, Middle Village, New York, 11379",thecannabisplace.org,40.7130337,-73.87814193250878
13,Stage One Cannabis LLC,"810C Broadway, Rensselaer, New York, 12144",stageonedispensary.com,42.6385499,-73.7471734
14,Flynnstoned Corporation,"219 Walton St, Syracuse, New York, 13202",flynnstoned.com,43.0478518,-76.1563561
15,Half Island Flavors LLC***,"-, Bronx, New York, -",myseshnyc.com,40.8466508,-73.8785937
16,Greenery Spot LLC,"246 Main St, Johnson City, New York, 13790",greeneryspot.com,42.1150105,-75.9554091
17,Royal Leaf NY LLC,"817 E Tremont Ave, Bronx, New York, 10460",statiscannabis.com,40.8435543,-73.8870831
18,Strain Stars LLC,"1815 Broadhollow Rd, Farmingdale, New York, 11735",strainstarsny.com,NA,NA
19,Exscape INC (dba Sacred Bloom),"1308 Vestal Pkwy E, 1st Floor, Set D, Vestal, New York, 13850",sacred-bloom.com,NA,NA
20,Dank 716 LLC,"501 Main St, Buffalo, New York, 14203",716dank.com,42.8874025,-78.87348854757144
21,Herbal IQ,"6055 Transit Rd, Depew, New York, 14043",herbaliq.org,42.9196164,-78.6965579
22,EK Green LLC (dba Canterra)***,"-, Tonawanda, New York, -",canterra.co,43.020679,-78.878383
23,Dosha Farms LLC (dba Dosha),"76 Main St, Oneonta, New York, 13820",doshafarms.com,42.4509899,-75.0636537
24,Air City Cannabis LLC***,"-, Rome, New York, -",aircitycannabis.com,43.2128473,-75.4557304
25,"North County Roots, Inc. (dba Elevate ADK)","622 Lake Flower Ave, Ste 7, Saranac Lake, New York, 12983",elevateadk.com,NA,NA
26,Kush Culture Industry LLC (dba Terp Bros),"3610 Ditmars Blvd, Queens, New York, 11105",terpbrosnyc.com,40.7748712,-73.9089097
27,CONBUD LLC,"85 Delancey St, New York, New York, 10002",conbud.com,40.7187477,-73.9896441
28,"The Highest Peak, LLC","25 Market St, Potsdam, New York, 13676",highestpeakny.com,44.66930495,-74.98717122415061
29,Premier Earth Corp.,"1297 Hertel Ave, Buffalo, New York, 14216",premierearth.com,42.9475701,-78.8600721
30,Capital District Cannabis & Wellness Inc.,"997 Central Ave, Ste 200, Albany, New York, 12205",capitaldistrictcannabis.com,NA,NA
31,Humble County LLC (dba 420 Bliss),"740 Hoosick Rd, Troy, New York, 12180",420-bliss.com,42.744780399999996,-73.64178653214285
32,"Amsterdam Cannabis, Inc.","1451 State Highway 5S, Amsterdam, New York, 12010",damcanna.com,42.9305705,-74.20814386373826
33,MJ Dispensary,"900 Jefferson Rd, Ste 902, Rochester, New York, 14623",mjdispensary585.com,NA,NA
