unique_id,date_of_bite,species,breed,age,gender,spay_neuter,borough,zip_code,year,breed_rc
1,2015-01-02,Dog,"Poodle, Standard",3,M,TRUE,Brooklyn,11238,2015,"Poodle, Standard"
2,2015-01-02,Dog,Husky,NA,U,FALSE,Brooklyn,11249,2015,Husky
3,2015-01-02,Dog,NA,NA,U,FALSE,Brooklyn,NA,2015,NA
4,2015-01-01,Dog,American Pit Bull Terrier/Pit Bull,6,M,FALSE,Brooklyn,11221,2015,American Pit Bull Terrier/Pit Bull
5,2015-01-03,Dog,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Brooklyn,11207,2015,American Pit Bull Terrier/Pit Bull
6,2015-01-05,Dog,American Pit Bull Terrier/Pit Bull,1,F,FALSE,Brooklyn,11209,2015,American Pit Bull Terrier/Pit Bull
7,2015-01-04,Dog,Morkie,1,M,FALSE,Brooklyn,11220,2015,Morkie
8,2015-01-05,Dog,Chihuahua,1,M,FALSE,Brooklyn,11237,2015,Chihuahua
9,2015-01-04,Dog,Pit Bull Mixed,NA,M,FALSE,Brooklyn,11215,2015,Pit Bull Mixed
10,2015-01-04,Dog,NA,NA,U,FALSE,Brooklyn,11221,2015,NA
11,2015-01-02,Dog,NA,NA,U,FALSE,Brooklyn,NA,2015,NA
12,2015-01-02,Dog,Cocker Spaniel Crossbreed,NA,U,FALSE,Brooklyn,11220,2015,Cocker Spaniel Crossbreed
13,2015-01-05,Dog,Shih Tzu,4,F,FALSE,Brooklyn,11205,2015,Shih Tzu
14,2015-01-01,Dog,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11220,2015,American Pit Bull Terrier/Pit Bull
15,2015-01-07,Dog,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,NA,2015,American Pit Bull Terrier/Pit Bull
16,2015-01-05,Dog,Shih Tzu,3,M,TRUE,Brooklyn,11224,2015,Shih Tzu
17,2015-01-09,Dog,Pit Bull,2,M,TRUE,Brooklyn,11213,2015,Pit Bull (or Mix)
18,2015-01-10,Dog,Mixed/Other,7,M,TRUE,Brooklyn,NA,2015,Mixed/Other
19,2015-01-10,Dog,Yorkshire Terrier,1,F,FALSE,Brooklyn,11237,2015,Yorkshire Terrier
20,2015-01-13,Dog,Dachshund Smooth Coat,12,M,TRUE,Brooklyn,11217,2015,Dachshund Smooth Coat
21,2015-01-12,Dog,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11208,2015,American Pit Bull Terrier/Pit Bull
