animal_name,animal_gender,animal_birth_year,breed_rc,borough,zip_code,license_issued_date,license_expired_date,extract_year
Paige,F,2014,Pit Bull,Manhattan,10035,9/12/2014,9/12/2017,2016
Yogi,M,2010,Boxer,Bronx,10465,9/12/2014,10/2/2017,2016
Ali,M,2014,Basenji,Manhattan,10013,9/12/2014,9/12/2019,2016
Queen,F,2013,Akita Crossbreed,Manhattan,10013,9/12/2014,9/12/2017,2016
Lola,F,2009,Maltese,Manhattan,10028,9/12/2014,10/9/2017,2016
Ian,M,2006,Unknown,Manhattan,10013,9/12/2014,10/30/2019,2016
Buddy,M,2008,Unknown,Manhattan,10025,9/12/2014,10/20/2017,2016
Chewbacca,F,2012,Labrador (or Crossbreed),Manhattan,10013,9/12/2014,10/1/2019,2016
Heidi-Bo,F,2007,Dachshund Smooth Coat,Brooklyn,11215,9/13/2014,4/16/2017,2016
Massimo,M,2009,"Bull Dog, French",Brooklyn,11201,9/13/2014,9/17/2017,2016
Lola,F,2006,Miniature Pinscher,Manhattan,10022,9/13/2014,10/3/2019,2016
Lemmy,F,2005,Yorkshire Terrier,Manhattan,10003,9/13/2014,10/26/2017,2016
Lucy,F,2014,Dachshund Smooth Coat Miniature,Brooklyn,11215,9/13/2014,9/13/2019,2016
Ricky,M,2014,German Shepherd Dog,Brooklyn,11220,9/13/2014,9/13/2017,2016
Sarah,F,2012,Unknown,Manhattan,10040,9/13/2014,9/13/2017,2016
Murphy,M,2012,Pit Bull,Bronx,10463,9/13/2014,9/28/2017,2016
June,F,2010,Cavalier King Charles Spaniel,Brooklyn,11238,9/13/2014,10/28/2019,2016
Elizabeth,F,2013,Cavalier King Charles Spaniel,Manhattan,10022,9/13/2014,9/13/2019,2016
Avery,F,2014,Pit Bull,Manhattan,10002,9/13/2014,9/13/2019,2016
Sophie,F,2011,Boxer,Staten Island,10308,9/13/2014,10/23/2019,2016
Otis,F,2001,Unknown,Manhattan,10011,9/13/2014,9/29/2017,2016
Benson,M,2010,Boxer,Brooklyn,11209,9/13/2014,10/29/2019,2016
Bigs,M,2004,Pit Bull,Brooklyn,11208,9/13/2014,10/27/2019,2016
Logan,M,2003,Unknown,Manhattan,10011,9/13/2014,10/30/2017,2016
Bess,F,2010,Beagle,Brooklyn,11218,9/13/2014,9/13/2016,2016
Apple,M,2013,Havanese,Manhattan,10025,9/13/2014,10/16/2019,2016
Muneca,F,2013,Beagle,Brooklyn,11232,9/13/2014,9/13/2019,2016
Dottie,F,2013,"Poodle, Standard",Manhattan,10025,9/13/2014,9/13/2017,2016
Oscar,M,2008,German Shorthaired Pointer,Manhattan,10025,9/13/2014,9/13/2019,2016
Buddy,M,2012,Bull Terrier,Staten Island,10312,9/13/2014,10/5/2019,2016
Joey,F,2010,Labrador (or Crossbreed),Manhattan,10023,9/14/2014,7/30/2017,2016
Max,M,2005,"Dachshund, Long Haired",Manhattan,10023,9/14/2014,9/14/2019,2016
Jasmine,F,2008,Unknown,Brooklyn,11209,9/14/2014,10/28/2017,2016
Sammy,M,2007,Beagle,Brooklyn,11231,9/14/2014,10/15/2017,2016
Nina,F,2010,"Schnauzer, Miniature",Bronx,10461,9/14/2014,10/27/2017,2016
Rosie,F,2010,Unknown,Manhattan,10028,9/14/2014,10/1/2017,2016
Sherrie,M,2008,Yorkshire Terrier,Brooklyn,11224,9/14/2014,10/6/2017,2016
Elaine,F,2005,Labrador (or Crossbreed),Bronx,10471,9/14/2014,9/14/2019,2016
Dede,M,2013,Boston Terrier,Brooklyn,11236,9/14/2014,9/14/2019,2016
Lilah,F,2008,Norfolk Terrier,Brooklyn,11209,9/14/2014,9/14/2017,2016
Cooby,M,2013,Bichon Frise,Manhattan,10002,9/14/2014,9/14/2017,2016
Ranger,M,2007,German Shorthaired Pointer,Brooklyn,11229,9/14/2014,9/14/2017,2016
Sandee,F,2009,"Schnauzer, Miniature",Queens,11361,9/14/2014,10/4/2017,2016
Tiberius,M,2006,Golden Retriever,Manhattan,10021,9/14/2014,10/10/2017,2016
Coco,F,2009,Bichon Frise,Staten Island,10309,9/15/2014,10/22/2017,2016
Louie,M,2008,Unknown,Manhattan,10024,9/15/2014,9/3/2017,2016
Pirulo,M,2008,Unknown,Manhattan,10038,9/15/2014,2/23/2017,2016
Pepi,M,2004,Unknown,Bronx,10467,9/15/2014,10/31/2019,2016
Dexter,M,2010,Cavalier King Charles Spaniel,Brooklyn,11201,9/15/2014,10/24/2017,2016
Luna,F,2009,"Schnauzer, Miniature",Brooklyn,11215,9/15/2014,10/20/2017,2016
